vuln_id,system_id,cve_code,description,patch_status,student_fullname
1,13,CVE-7947-7529,Season no through summer vote job bit seat push score go back attack break.,Patched,Roland Laval Mathieu Baba
2,3,CVE-7494-571,Score why act plan develop education cut star crime subject.,Unpatched,Roland Laval Mathieu Baba
3,28,CVE-9690-6976,Edge run certainly bank heart wind fly.,Patched,Roland Laval Mathieu Baba
4,15,CVE-3781-867,Decision field plan little design court lawyer prepare skin you energy nation reason bit.,Unpatched,Roland Laval Mathieu Baba
5,11,CVE-1284-1477,Later have stop the present very choice budget rest out pressure.,Patched,Roland Laval Mathieu Baba
6,27,CVE-8066-5821,First crime clearly too area probably you impact suddenly crime civil far seek.,Unpatched,Roland Laval Mathieu Baba
7,30,CVE-5219-9627,Couple data image half several or tell yard police.,Unpatched,Roland Laval Mathieu Baba
8,47,CVE-8113-6665,Defense this enter available special child concern us total.,Patched,Roland Laval Mathieu Baba
9,39,CVE-3213-8491,Break occur late another safe kitchen medical science tonight movement their.,Unpatched,Roland Laval Mathieu Baba
10,47,CVE-4913-3100,Remember try me why indeed yourself type detail dream last.,Unpatched,Roland Laval Mathieu Baba
11,13,CVE-9769-5860,If general toward rich movie within very personal her member program.,Patched,Roland Laval Mathieu Baba
12,36,CVE-4277-7322,Stop radio health mission forward according leg enter bit popular feel serious.,Unpatched,Roland Laval Mathieu Baba
13,26,CVE-4379-2433,Thousand news base deep note wall create figure.,Unpatched,Roland Laval Mathieu Baba
14,22,CVE-2869-5656,Model another provide stop bank model mission cell.,Unpatched,Roland Laval Mathieu Baba
15,48,CVE-9728-3532,Population begin around none off country.,Unpatched,Roland Laval Mathieu Baba
16,31,CVE-872-7628,First real down ten scene feel happy note possible.,Patched,Roland Laval Mathieu Baba
17,50,CVE-2747-2511,Side land may her necessary reveal hard natural trip sit another.,Unpatched,Roland Laval Mathieu Baba
18,9,CVE-827-5657,Wonder ready factor Democrat very someone necessary where perform watch go stop already.,Unpatched,Roland Laval Mathieu Baba
19,25,CVE-7761-7395,Yard follow great election tough run third something per concern community.,Patched,Roland Laval Mathieu Baba
20,9,CVE-8008-2930,Before huge letter happy answer interest population usually series age.,Unpatched,Roland Laval Mathieu Baba
21,34,CVE-3742-853,Whatever show country since for game large seat computer model include worker.,Unpatched,Roland Laval Mathieu Baba
22,10,CVE-8964-1880,Ball begin yard head statement stay.,Unpatched,Roland Laval Mathieu Baba
23,19,CVE-8175-9013,Bit idea entire big gas clearly level feel feeling history become production suffer.,Patched,Roland Laval Mathieu Baba
24,22,CVE-7428-9940,Common effort side create free environmental.,Unpatched,Roland Laval Mathieu Baba
25,1,CVE-4472-2288,Hope lay generation business party think and man case.,Patched,Roland Laval Mathieu Baba
26,36,CVE-212-5405,Sound full believe very support me purpose book service within hot least.,Unpatched,Roland Laval Mathieu Baba
27,22,CVE-7523-4986,Myself join focus what of risk order yard Mr I difficult.,Unpatched,Roland Laval Mathieu Baba
28,44,CVE-641-312,Politics billion the such central daughter which information finish.,Patched,Roland Laval Mathieu Baba
29,20,CVE-8944-5514,Yet director paper age food forward admit.,Patched,Roland Laval Mathieu Baba
30,1,CVE-206-4109,Boy deal picture kind tonight would.,Unpatched,Roland Laval Mathieu Baba
31,3,CVE-8271-696,Hundred mind hard this indicate seem expert general campaign number authority news.,Patched,Roland Laval Mathieu Baba
32,30,CVE-8025-1153,Fall whether message air after executive might possible dog wear budget popular.,Unpatched,Roland Laval Mathieu Baba
33,17,CVE-7986-7875,Fine yourself people family color hand help per after there.,Unpatched,Roland Laval Mathieu Baba
34,43,CVE-1640-2910,Treat reality method movie write surface gun argue.,Patched,Roland Laval Mathieu Baba
35,30,CVE-8286-7389,Action when likely response hold range travel number.,Unpatched,Roland Laval Mathieu Baba
36,26,CVE-8476-7791,Half TV total north light increase investment.,Patched,Roland Laval Mathieu Baba
37,48,CVE-9914-7529,Onto half discuss security that difference serious never mean agent decade subject.,Unpatched,Roland Laval Mathieu Baba
38,50,CVE-7456-687,Floor class administration clear grow cultural buy you manage yes hit.,Unpatched,Roland Laval Mathieu Baba
39,31,CVE-97-1247,Beyond direction should class recent technology character blue face despite agent site close.,Unpatched,Roland Laval Mathieu Baba
40,3,CVE-1961-3811,Capital affect pattern clear director least blood.,Patched,Roland Laval Mathieu Baba
41,25,CVE-6537-7529,Activity age increase effect film subject purpose recognize interesting garden.,Unpatched,Roland Laval Mathieu Baba
42,28,CVE-3747-2378,And onto professor blood environment house society actually include tend dog green coach.,Patched,Roland Laval Mathieu Baba
43,46,CVE-911-6971,Town simple gun least miss five.,Patched,Roland Laval Mathieu Baba
44,47,CVE-7107-1699,Mrs activity civil help book when identify reveal well write.,Patched,Roland Laval Mathieu Baba
45,10,CVE-9699-9213,Student improve yard tree radio hot.,Patched,Roland Laval Mathieu Baba
46,29,CVE-4577-4069,Wear write present picture whole bit expert detail bar edge difficult sea.,Patched,Roland Laval Mathieu Baba
47,40,CVE-7873-6717,These season Democrat act successful success effect fine marriage specific by already play affect.,Patched,Roland Laval Mathieu Baba
48,19,CVE-9652-3337,Marriage candidate performance unit girl a add take.,Unpatched,Roland Laval Mathieu Baba
49,21,CVE-8157-8204,Understand president technology keep investment skill conference rest hour dream.,Unpatched,Roland Laval Mathieu Baba
50,25,CVE-2116-1770,Board they student just these political reality leader community computer form human.,Patched,Roland Laval Mathieu Baba
